Date,Security1,Security2,Security3,Security4,Security5,Security6,Security7,Security8,Security9,Security10
05/04/2000,13.08122,10.03282,67.02187,0.49547,5.94556,3.61822,3.49683,5.66192,10.52502,0.94317
06/04/2000,13.08429,9.70616,64.65627,0.48503,6.24176,3.47905,3.57078,5.6357,10.40516,0.98836
07/04/2000,13.14045,9.90279,65.15683,0.4816,6.57378,3.43695,3.51116,5.67024,10.37503,0.98766
10/04/2000,13.16456,10.10783,64.23938,0.48221,6.2758,3.40191,3.5135,5.82492,10.28598,1.01229
11/04/2000,13.05759,9.91199,64.5416,0.47613,6.2189,3.56677,3.54255,5.81495,10.37623,1.00004
12/04/2000,13.00421,9.96358,64.50621,0.48086,6.44992,3.69498,3.6006,5.65611,10.40436,1.00986
13/04/2000,13.19736,10.19393,63.86509,0.48086,6.74419,3.64878,3.63279,6.13125,10.34464,1.09314
14/04/2000,12.29314,10.0499,64.13171,0.48086,7.11659,3.57074,3.57047,5.98632,10.34504,1.09362
17/04/2000,12.17881,9.90493,61.38919,0.49114,6.38469,3.46149,3.59627,5.9117,10.16576,1.04377
18/04/2000,12.33118,9.77337,60.65443,0.49856,6.40949,3.39811,3.5902,5.91177,10.28479,1.01445
19/04/2000,12.61808,9.54131,60.04226,0.49989,6.41062,3.41042,3.5902,5.67197,10.46261,1.06061
20/04/2000,12.11133,9.80755,59.67372,0.49979,6.70549,3.68578,3.5902,5.44485,10.43154,1.03247
21/04/2000,12.11133,9.80755,59.67372,0.50932,6.70549,3.68578,3.5902,5.44485,10.43154,1.05735
24/04/2000,12.11133,9.80755,59.67372,0.50932,6.51168,3.68578,3.56123,5.44485,10.43154,1.04503
25/04/2000,11.97633,9.79731,59.76216,0.50932,6.50671,3.70309,3.54044,5.44145,10.46247,1.14575
26/04/2000,12.33275,9.84809,59.05009,0.5103,6.49794,3.5644,3.4606,5.5479,10.46287,1.17182
27/04/2000,12.14204,9.45209,57.74878,0.52024,6.43867,3.53481,3.33839,5.48197,10.37317,1.16053
28/04/2000,11.85417,9.73911,58.57217,0.52033,6.77618,3.48391,3.33839,5.65549,10.34278,1.2303
